ID,Title,Average Rating,Release Date,Runtime
128190,The Pervert's Guide to Ideology,7.277,2012-11-15,131
141,Donnie Darko,7.781,2001-01-19,114
372058,Your Name.,8.497,2016-08-26,106
330764,The Brand New Testament,6.657,2015-09-02,114
267803,Yugoslavia: How Ideology Moved Our Collective Body,6.3,2013-04-01,62
66030,Knights of the Teutonic Order,7.3,1960-09-02,166
38142,5 Centimeters per Second,7.306,2007-03-03,63
66030,Knights of the Teutonic Order,7.3,1960-09-02,166
677602,Grand Blue,5.9,2020-08-07,107
492015,The Pinchcliffe Grand Prix,7.572,1975-08-28,88
39323,Dragon Ball Z: Bardock - The Father of Goku,7.532,1990-10-17,48
425134,How to Be a Latin Lover,6.925,2017-03-06,116
8697,Who Am I?,7.09,1998-01-17,120
6038,Shanghai Knights,6.138,2003-02-06,115
22311,The Inglorious Bastards,6.21,1978-02-08,99
776669,The Abbey of Crime: Umberto Eco's 'The Name of the Rose',8,1986-10-11,39
934957,The Darker the Lake,5.638,2022-03-10,100
843241,The Seven Deadly Sins: Cursed by Light,7.8,2021-07-02,79
2048,"I, Robot",6.946,2004-07-15,115
915935,Anatomy of a Fall,7.667,2023-08-23,152
507089,Five Nights at Freddy's,7.668,2023-10-25,110
818783,We Might As Well Be Dead,5.125,2022-09-29,93
306562,"Ulises and the 10,000 moustaches",6.1,2014-12-10,90
827689,Only Fools Rush In,5.619,2022-02-01,130
581518,When Hitler Stole Pink Rabbit,7.122,2019-12-25,119
876671,The Cost of Deception,4.426,2021-10-21,125
1027497,Hello,6.191,2022-09-22,92
98420,To Subdue the Evil,0.0,1971-01-01,86
321666,600 Miles,5.968,2015-12-03,85
829557,365 Days: This Day,5.856,2022-04-27,111
274205,Taylor Swift: American Beauty,10.0,2012-01-03,52
1726,Iron Man,7.645,2008-04-30,126
787,Mr. & Mrs. Smith,6.686,2005-06-07,119
372058,Your Name.,8.488,2016-08-26,106
787,Mr. & Mrs. Smith,6.686,2005-06-07,119
